tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0074446	movie	Duma o Kovpake: Karpaty, Karpaty...	Duma o Kovpake: Karpaty, Karpaty...	0	1978	\N	153	Biography,War
tt0057900	movie	Brillante porvenir	Brillante porvenir	0	1965	\N	93	Drama
tt0233025	tvSeries	Crazy in Love	Locura de amor	0	2000	2000	45	Romance
tt0051528	movie	El derecho a la vida	El derecho a la vida	0	1959	\N	98	Drama
tt0206094	movie	Lions of the African Night	Lions of the African Night	0	1987	\N	60	Documentary
tt0026184	movie	The Case of the Curious Bride	The Case of the Curious Bride	0	1935	\N	80	Comedy,Crime,Drama
tt0046038	movie	Man of Africa	Man of Africa	0	1953	\N	73	Drama
tt0024133	short	Hollywood on Parade No. A-9	Hollywood on Parade No. A-9	0	1933	\N	10	Comedy,Musical,Short
tt0040930	short	Van Gogh	Van Gogh	0	1948	\N	20	Documentary,Short
tt0053849	movie	The Gallant Hours	The Gallant Hours	0	1960	\N	115	Biography,Drama,War
tt0120994	tvSeries	Moody and Pegg	Moody and Pegg	0	1974	1975	52	Comedy,Drama
tt0226578	movie	An Unremarkable Birth	An Unremarkable Birth	0	1978	\N	52	Documentary
tt0259547	movie	Conflict	Samar	0	1998	\N	126	Drama
tt0234749	short	Small Smoke at Blaze Creek	Small Smoke at Blaze Creek	0	1971	\N	10	Documentary,Short
tt0060962	movie	Senjo ni nagareru uta	Senjo ni nagareru uta	0	1965	\N	134	Drama,War
tt0084343	movie	The Sweet and Sour Cops Part II	Mo deng za chai	0	1982	\N	93	Crime
tt0107042	movie	Shades of Fear	Great Moments in Aviation	0	1994	\N	93	Comedy,Drama,Mystery
tt0133948	short	The Man's Angle	The Man's Angle	0	1942	\N	9	Comedy,Short
tt0099117	video	Bend Over Babes	Bend Over Babes	1	1989	\N	114	Adult
tt0172959	short	Patru zile dintr-un an	Patru zile dintr-un an	0	1970	\N	\N	Documentary,Short
tt0015841	movie	The Freshman	The Freshman	0	1925	\N	77	Comedy,Family,Romance
tt0207805	tvMovie	Tuesdays with Morrie	Tuesdays with Morrie	0	1999	\N	89	Biography,Drama
tt0216413	short	Willie's Hat	Willie's Hat	0	1897	\N	\N	Comedy,Short
tt0018262	short	The Phantom Outlaw	The Phantom Outlaw	0	1927	\N	\N	Short,Western
tt0140100	movie	The Harms Case	Slucaj Harms	0	1987	\N	90	Drama
tt0052610	movie	The Beat Generation	The Beat Generation	0	1959	\N	95	Crime,Drama,Thriller
tt0031866	movie	Dream music	Ritorno	0	1940	\N	70	Romance
tt0162861	movie	Anton	Anton	0	1973	\N	77	Drama
tt0203279	short	A Perfect Accent	Un accento perfetto	0	1998	\N	25	Short
tt0230000	video	The Aphrodisiac	The Aphrodisiac	1	1999	\N	99	Adult
tt0135388	video	Defiance: Spanking and Beyond	Defiance: Spanking and Beyond	1	1993	\N	\N	Adult
tt0123958	movie	Lejlighed til leje	Lejlighed til leje	0	1949	\N	97	Comedy,Family,Music
tt0245850	short	Cynara: Poetry in Motion	Cynara: Poetry in Motion	0	1996	\N	40	Drama,Romance,Short
tt0147694	short	When Men Were Men	When Men Were Men	0	1925	\N	\N	Animation,Comedy,Short
tt0254756	movie	Sathyabhama	Sathyabhama	0	1963	\N	\N	\N
tt0153736	short	What Happens at Night	What Happens at Night	0	1941	\N	7	Animation,Fantasy,Short
tt0028386	movie	Tisztelet a kivételnek	Tisztelet a kivételnek	0	1937	\N	85	Drama
tt0004662	short	Sweedie Learns to Swim	Sweedie Learns to Swim	0	1914	\N	10	Comedy,Short
tt0190897	tvSeries	The All-New Popeye Hour	The All-New Popeye Hour	0	1978	1984	60	Adventure,Animation,Family
tt0186750	tvSeries	Herrat nauraa	Herrat nauraa	0	1999	1999	25	\N
tt0069484	tvMovie	A War of Children	A War of Children	0	1972	\N	73	Drama
tt0249057	movie	Nine Phoenixes of the City	Nine Phoenixes of the City	0	1964	\N	\N	Comedy
tt0119163	movie	Full Blast	Full Blast	0	1999	\N	91	Action,Thriller
tt0165850	movie	Krutye gorki	Krutye gorki	0	1956	\N	\N	\N
tt0045524	movie	Aurat	Aurat	0	1953	\N	\N	Action,Adventure,Drama
tt0152991	short	Terry the Terror	Terry the Terror	0	1961	\N	6	Animation,Short
tt0117626	tvMovie	She Cried No	She Cried No	0	1996	\N	98	Drama
tt0251201	tvMovie	Mal raus aus dem Alltag	Mal raus aus dem Alltag	0	1980	\N	65	Comedy
tt0135210	video	Club Exotica	Club Exotica	1	1986	\N	77	Adult
tt0174964	movie	Nashe serdtse	Nashe serdtse	0	1947	\N	82	Drama
tt0080499	movie	The Beasts' Carnival	El carnaval de las bestias	0	1980	\N	91	Crime,Horror
tt0110888	short	Prickly Heat	Prickly Heat	0	1994	\N	6	Short
tt0116542	movie	Holding Ground: The Rebirth of Dudley Street	Holding Ground: The Rebirth of Dudley Street	0	1996	\N	57	\N
tt0025494	movie	Merry Wives of Reno	Merry Wives of Reno	0	1934	\N	64	Comedy,Romance
tt0090546	tvSeries	Wilderness Road	Wilderness Road	0	1986	\N	30	Comedy
tt0188529	movie	Cuatro pícaros bomberos	Cuatro pícaros bomberos	0	1979	\N	85	Comedy
tt0115022	movie	Ruma Elsa	Ruma Elsa	0	1949	\N	73	Comedy
tt0134172	short	Una para llevar	Una para llevar	0	1997	\N	3	Comedy,Crime,Short
